Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
32787,WATSON - THE IMPACT SERIES,35137,WATSON - THE IMPACT SERIES,10/23/2020,99,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
32786,LOVE CHILD - THE IMPACT SERIES (multilingual w/est),35136,LOVE CHILD - THE IMPACT SERIES (multilingual w/est),10/2/2020,112,Persian,English,Ltd,Documentary,0,0,B,Adult,0,Documentary
32785,NOW - THE IMPACT SERIES,35135,NOW - THE IMPACT SERIES,9/25/2020,73,English,English,Ltd,Documentary,0,0,B,Family,0,Documentary
32784,Toronto Raptors: Boston @ Toronto Game 7,35134,Toronto Raptors: Boston @ Toronto Game 7,9/11/2020,180,English,English,Wide,Sporting Event,0,0,B,None,0,Unknown
32783,Queen of the Morning Calm ,35133,Queen of the Morning Calm ,9/25/2020,86,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32782,The Last Shift,35132,The Last Shift,9/25/2020,91,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32781,LEAP (Mandarin w/Chinese & English s.t.),35131,LEAP (Mandarin w/Chinese & English s.t.),9/25/2020,135,Mandarin,English,Ltd,Film Presentation,0,0,B,Family,0,Drama
32780,"Nadia, Butterfly (French w/e.s.t.)",34967,"Nadia, Butterfly (French w/e.s.t.)",9/18/2020,107,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32779,Lola vers la mer,35130,Lola vers la mer,9/11/2020,90,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32778,Ammonite,35129,Ammonite,11/20/2020,120,English,English,Wide,Film Presentation,0,0,B,Adult,0,Drama
32777,Viens jouer,34945,Come Play,10/30/2020,999,French,French,Wide,Film Presentation,0,0,B,Adult,0,Adaptation
32776,Possesseur (version franaise),35101,Possessor Uncut,10/2/2020,103,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Thriller
32775,The Tragically Hip: The Ultimate Double Feature,35128,The Tragically Hip: The Ultimate Double Feature,9/18/2020,273,English,English,Ltd,Concert,0,0,B,Adult,0,Musical
32774,Maverick Modigliani,35127,Maverick Modigliani,12/31/9999,90,English,English,Ltd,Documentary,0,0,B,None,0,Unknown
32773,Maverick Modigliani,35126,Maverick Modigliani (version franaise),11/6/2020,90,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
32772,Secret Impressionists,35125,Secret Impressionists,12/31/9999,80,English,English,Ltd,Documentary,0,0,B,None,0,Unknown
32771,Secret Impressionists,35124,Secret Impressionists,12/31/9999,80,English,English,Ltd,Documentary,0,0,B,None,0,Unknown
32770,Secret Impressionists,35123,Secret Impressionists (version franaise),10/2/2020,83,English,English,Ltd,Documentary,0,0,B,Adult,0,Documentary
32769,Scream  ,35122,Scream,12/31/9999,999,English,English,Wide,Film Presentation,0,0,B,None,0,Unknown
32768,Scream,35121,Scream,1/14/2022,999,English,English,Wide,Film Presentation,0,0,B,None,0,Unknown
32767,Untitled Lee Daniels Billie Holiday Film,35120,Untitled Lee Daniels Billie Holiday Film,2/12/2021,999,English,English,Wide,Film Presentation,0,0,B,None,0,Unknown
32766,Rustic Oracle,35119,Rustic Oracle,9/18/2020,99,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32765,Nulle trace,35118,Nulle trace,10/30/2020,105,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32764,The Way I See It,35117,The Way I See It,12/31/9999,100,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Documentary
32763,La grande cavale,35116,Spy Cat,9/11/2020,92,French,French,Wide,Film Presentation,0,0,B,Family,0,Animated
32762,Spy Cat,35116,Spy Cat,9/11/2020,92,English,English,Wide,Film Presentation,0,0,B,Family,0,Animated
32761,Judas and the Black Messiah,35115,Judas and the Black Messiah,1/29/2021,999,English,English,Wide,Film Presentation,0,0,B,None,0,Drama
32760,Laisse-le partir,34643,Let Him Go,11/6/2020,114,French,French,Wide,Film Presentation,0,0,B,Adult,0,Drama
32759,Goddess of the Fireflies (French w/e.s.t.),34983,Goddess of the Fireflies (French w/e.s.t.),9/25/2020,106,French,English,Wide,Film Presentation,0,0,B,Adult,0,Drama
32758,Toronto Raptors: Toronto @ Boston Game 6,35105,Toronto Raptors: Boston @ Toronto Game 2,9/9/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32757,Toronto Raptors: Boston @ Toronto Game 5,35105,Toronto Raptors: Boston @ Toronto Game 2,9/7/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32756,Quitter l'Afghanistan (Russe avec s.t.f.),35114,Quitter l'Afghanistan (Russe avec s.t.f.),9/4/2020,116,Russian,French,Ltd,Film Presentation,0,0,B,Adult,0,Period
