Location_ID,Location_Name,Location_Short_Name,Location_Interactive_Name,Address1,City,Province_CD,Postal_Code,Country_CD,Is_VIP,Is_Outtakes,Is_Licensed_Bar,Is_Licensed_Lounge
3400,Coliseum Calgary,Coli.Calgry,Coliseum Calgary,100-16061 Mc loed trail S.E.,Calgary,AB,T2Y 3S5,CA,0,0,1,0
3401,SBNK Chinook,Scotia Chinook,Scotiabank Theatre Chinook,6455 Macleod Trail SW ,Calgary,AB,T2H 0K4,CA,0,1,1,0
3402,SilverCity Country Hills,SC C. Hills,SilverCity Country Hills,388 Country Hills Blvd. NE,Calgary,AB,T3K 5J6,CA,0,0,0,0
3403,SBNK Edmonton,Scotia Edmonton,Scotiabank Theatre Edmonton,"#3030, 8882-170 Street",Edmonton,AB,T5T 4M2,CA,0,1,0,0
3404,Westmount Centre,Westmount C,Westmount Centre,2003 Westmount Shopping Ctr.,Edmonton,AB,T5M 3L7,CA,0,0,0,0
3405,Centre,Centre,Lethbridge Centre,440-200 4th Avenue South,Lethbridge,AB,T1J 3Z4,CA,0,0,0,0
3406,Paramount,Paramount,Paramount Lethbridge,4TH Avenue & 8th Street S.,Lethbridge,AB,T1J 3Z4,CA,0,0,0,0
3407,Gateway,Gway Edm,Gateway 8 Edmonton,2950 Calgary Trail South,Edmonton,AB,T6J 6V5,CA,0,0,0,0
3408,FP Park Plaza 6,Park Plaza,Park Plaza Red Deer,5214- 47th Avenue,Red Deer,AB,T4N 5E8,CA,0,0,0,0
3409,CPX Westhills,Westhills,Cineplex Odeon Westhills Cinemas ,165 Stewart Green SW,Calgary,AB,T3H 3C8,CA,0,0,1,0
3410,"Paramount,Edmonton",Paramount,"Paramount,Edmonton",FP Closed,Edmonton,AB,,CA,0,0,0,0
3411,"Centre Cinemas, Lethbridge",Centre Cinem,"Centre Cinemas, Lethbridge",FP Closed,Lethbridge,AB,,CA,0,0,0,0
3420,SUNRIDGE MALL CINEMAS,"SUNRIDGE, Calga",SUNRIDGE MALL CINEMAS,FP Closed,Calgary ,AB,,CA,0,0,0,0
3421,"BANKER'S HALL, CALGARY(CLOSED) FP or Alliance",BANKERS HALL - ,"BANKER'S HALL, CALGARY(CLOSED) FP or Alliance",FP Closed,Calgary ,AB,,CA,0,0,0,0
3422,MARKET MALL CINEMAS,"MARKET MALL, Ca",MARKET MALL CINEMAS,FP Closed,Calgary ,AB,,CA,0,0,0,0
3634,CPX CINESCAPE,Cinescape,CPX CINESCAPE,200 Barlay Parade S.W.,Calgary,AB,T2P 4R5,CA,0,0,0,0
3701,CMC,CMC,CMC,1303 Yonge Street,Toronto,ON,M4T 2Y9,CA,0,0,0,0
4100,Coronet Cinemas,Coronet,Coronet Cinemas,,Regina,SK,,CA,0,0,0,0
4101,Odeon Centre,Odeon Centre,Odeon Centre,1953 Broad Street,Regina,SK, ,CA,0,0,0,0
4102,Cinema 6 Drive-In,Cinema 6 Drive,Cinema 6 Drive-In,,Regina,SK,,CA,0,0,0,0
4103,Sundown Drive In,Sundown Drive I,Sundown Drive In,Highway 5 E.,Saskatoon,SK, ,CA,0,0,0,0
4104,Southwinds Drive In,Southwinds Driv,Southwinds Drive In,Highway 11 South,Saskatoon,SK, ,CA,0,0,0,0
4105,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace Mall,Moncton,NB,A1A 1A1,CA,0,0,0,0
4106,CPX Pacific 4,Pacific,Pacific,101 Pacific Avenue,Saskatoon,SK,S7K 1N7,CA,0,0,0,0
4107,Towne Cinemas Saskatoon,Towne Cinemas,Towne Cinemas,320-20th Street West,Saskatoon,SK,S7K 3S7,CA,0,0,0,0
4108,CPX Southland,Southland,Cineplex Cinemas Southland,3025 Gordon Road,Regina,SK,S4S 6H7,CA,0,0,0,0
4109,CPX Centre Cinemas Sask,Ctr Cinema,Cineplex Odeon Centre Cinemas,3510-8th Street,Saskatoon,SK,S7H 0W6,CA,0,0,0,0
4110,GLX Saskatoon (Old),Saskatoon (Old),Galaxy Cinemas Saskatoon,347 2nd Ave. South,Saskatoon,SK,S7K 1L1,CA,0,0,0,0
4112,GLX Prince Albert,South Hill,Galaxy Cinemas Prince Albert,"2995 2nd Avenue West, Unit 1C",Prince Albert,SK,S6V 5V5,CA,0,1,0,0
4113,GLX Moose Jaw,TownNCount.,Galaxy Cinemas Moose Jaw,1235 Main Street North,Moose Jaw,SK,S6H 6M4,CA,0,0,0,0
4114,CPX Normanview,CPX Normanview,Cineplex Cinemas Normanview (Formerly Cineplex Cinemas Regina),"420 McCarthy Boulevard North, Unit 26",Regina,SK,S4R 7M2,CA,0,1,0,0
4115,CPX Cinemas at The Centre,CPX Centre Saskatoon,Cineplex Cinemas at The Centre,3510-8th Street,Saskatoon,SK,S7H 0W6,CA,0,0,0,0
4400,Capitol Saskatoon,Capitol Sas,Capitol 4 Saskatoon,216 1st Avenue South,Saskatoon,SK,S7K 1K3,CA,0,0,0,0
4401,CORNWALL CENTRE CINEMAS,"CORNWALL CTR., ",CORNWALL CENTRE CINEMAS,FP Closed,Regina,SK,,CA,0,0,0,0
4402,MIDTOWN CINEMAS(CLOSED),"MIDTOWN, Saskat",MIDTOWN CINEMAS(CLOSED),FP Closed,Saskatoon,SK,,CA,0,0,0,0
4403,SBNK Saskatoon & VIP,SBNK Saskatoon,Scotiabank Theatre Saskatoon and VIP,347-2nd Avenue South,Saskatoon,SK,S7K 1L1,CA,1,1,0,1
5002,Playdium Dartmouth,RS,Playdium Dartmouth,21 Cabela Road,Dartmouth,NS,B3B 0P4,CA,0,0,0,0
5103,CPX Sydney,CPX Sydney,Cineplex Cinemas Sydney,325 Prince Street,Sydney,NS,B1P 5K6,CA,0,0,0,0
5104,CPX Bridgewater,CPX Bridgewater,Cineplex Cinemas Bridgewater,349 Lahave Street,Bridgewater,NS,B4V 2T6,CA,0,0,0,0
5114,CPX New Glasgow,CPX New Glasgow,Cineplex Cinemas New Glasgow,612 East River Road,New Glasgow,NS,B2H 3S2,CA,0,0,0,0
5118,CPX Oxford,CPX Oxford,Cineplex Cinemas Oxford,6408 Quinpool Road,Halifax,NS,B3L 1A8,CA,0,0,0,0
5119,CPX Lower Sackville,CPX Lower Sackville,Cineplex Cinemas Lower Sackville,760 Sackville Drive,Lower Sackville,NS,B4E 1R7,CA,0,1,0,0
5130,SBNK Halifax,SBNK Halifax,Scotiabank Theatre Halifax,Bayer's Lake,Halifax,NS,B3S 1C5,CA,0,1,0,0
5132,CPX New Minas,CPX New Minas,Cineplex Cinemas New Minas,8944 Commercial Street,New Minas,NS,B4N 3C9,CA,0,0,0,0
5133,CPX Antigonish,CPX Antigonish,Cineplex Cinemas Antigonish,291 Main Street,Antigonish,NS,B2G 2C3,CA,0,0,0,0
5134,CPX Yarmouth,CPX Yarmouth,Cineplex Cinemas Yarmouth,136 Starrs Road,Yarmouth,NS,B5A 4E5,CA,0,0,0,0
5140,CPX Truro,CPX Truro,Cineplex Cinemas Truro,20 Treaty Trail,Truro,NS,B6L 1W2,CA,0,0,0,0
5141,CPX Amherst,CPX Amherst,Cineplex Cinemas Amherst,47 Church Street,Amherst,NS,B4H 3A7,CA,0,0,0,0
5143,CPX Park Lane,CPX Park Lane,Cineplex Cinemas Park Lane,5657 Spring Garden Road,Halifax,NS,B3J 3R4,CA,0,0,0,0
5145,CPX Dartmouth Crossing,CPX Dartmouth Cross,Cineplex Cinemas Dartmouth Crossing,145 Shubie Drive,Dartmouth,NS,B3B 0C3,CA,0,1,0,0
5400,"Penhorn Mall, Dartmouth","Penhorn Mall, ","Penhorn Mall, Dartmouth",FP Closed,Dartmouth,NS,,CA,0,0,0,0
