CINEPLEX_Item_ID,CINEPLEX_Item_Description,CINEPLEX_Item_Status,EIS_Group_Description,EIS_Sub_Group_Description,Item_Report_Code2,Item_Report_Code3,Item_Class_Description1,Item_Class_Description2,Item_Class_Description3,Is_Item_Package,Is_Box_Office_Item,US_Is_Butter,US_Is_Kiddietray,US_Is_Voucher,US_Is_LrgPopcorn,US_Is_Coffee,US_Is_Candy,US_Is_Alcohol,US_Is_MenuFood
99695,VHO CNDY - M&M CARAMEL,A,Food,Food,0,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99741,VHO LQ - APP - BONELESS WINGS (12),A,0,0,0,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99742,VHO LQ - APP -  BACON POUTINE,A,0,0,800 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99743,VHO LQ - MAIN - BURGER BACON CHEESE WITH SIDE,A,0,0,910 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99750,VHO LQ - APP -  PULLED PORK POUTINE,A,0,0,950 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99843,VHO OT - S/W CLASSIC CRISPY CHICKEN,A,0,0,0,Y,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
99847,VHO OT - CBO CLASSIC CHICKEN SANDWICH + RG DRINK,A,0,0,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
99861,VHO DRINK - BTL SMART WATER SPARKLING,A,0,0,0 Cals,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,0
99874,VHO POPTOPIA - PREPACK CARAMEL,A,0,0,1200 Cals,Y,VHO-POPTOPIA,0,0,0,0,0,0,0,0,0,0,0,0
99875,VHO POPTOPIA - PREPACK CHICAGO MIX,A,0,0,930 Cals,Y,VHO-POPTOPIA,0,0,0,0,0,0,0,0,0,0,0,0
99907,VHO MISC - CINEPLEX STORE COMBO REVENUE,A,Food,Food,0,0,MISC,0,0,0,0,0,0,0,0,0,0,0,0
99976,VHO LQ - DRINK HCRAFT SHOWTIME CAESAR (2OZ),A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
